Timestamp;Map;PlayersNumber;TeamComposition;EnemyComposition;Duration;Victory;KillingBlows;Damage;Healing;Honor;RatingChange;MMR;EnemyMMR;Specialization;isRated
1612249977;2373;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;MAGE-Fire,PRIEST-Discipline,ROGUE-Subtlety;84;false;0;6533;102754;0;-9;1784;1785;Restoration;true
1612249812;1552;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;MAGE-Fire,PALADIN-Holy,ROGUE-Subtlety;239;true;0;75646;219059;0;14;1757;1746;Restoration;true
1612249486;1911;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;MONK-Windwalker,SHAMAN-Restoration,WARRIOR-Arms;57;false;0;0;103363;0;-9;1787;1782;Restoration;true
1612249312;1825;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;DRUID-Balance,PALADIN-Retribution,PRIEST-Discipline;183;true;0;29479;431556;0;14;1758;1758;Restoration;true
1612249036;1672;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;PALADIN-Holy,PALADIN-Retribution,WARRIOR-Arms;225;false;0;29597;575956;0;-9;1788;1784;Restoration;true
1612248690;2373;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;PALADIN-Holy,SHAMAN-Elemental,WARLOCK-Affliction;349;false;0;26394;1005879;0;-9;1819;1808;Restoration;true
1612248257;2167;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;PALADIN-Retribution,PRIEST-Discipline,WARRIOR-Arms;119;false;0;16626;296139;0;0;1847;1853;Restoration;true
1612248054;1504;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;DRUID-Balance,PRIEST-Discipline,ROGUE-Subtlety;188;true;2;44488;240450;0;16;1816;1825;Restoration;true
1612247759;617;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;PALADIN-Holy,PRIEST-Shadow,WARLOCK-Affliction;165;true;1;18801;432565;0;15;1788;1783;Restoration;true
1612247512;1505;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;DRUID-Balance,MONK-Windwalker,PALADIN-Holy;155;true;0;41149;423571;0;15;1761;1753;Restoration;true
1612247243;2373;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;PALADIN-Holy,PRIEST-Shadow,WARRIOR-Arms;44;false;0;11353;51187;0;-8;1790;1788;Restoration;true
1612247108;2373;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;DRUID-Balance,PALADIN-Retribution,PRIEST-Discipline;185;true;0;17046;391198;0;15;1763;1755;Restoration;true
1612246800;617;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;MAGE-Fire,PRIEST-Discipline,ROGUE-Subtlety;59;false;0;8867;138315;0;0;1793;1785;Restoration;true
1612246651;980;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;DRUID-Balance,DRUID-Balance,WARLOCK-Affliction;45;true;0;2262;172949;0;16;1766;1758;Restoration;true
1612246502;980;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;PALADIN-Holy,SHAMAN-Enhancement,WARRIOR-Arms;132;true;0;28768;257539;0;16;1737;1735;Restoration;true
1612246257;1672;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;MONK-Windwalker,SHAMAN-Restoration,WARRIOR-Arms;71;true;0;1317;125749;0;15;1709;1701;Restoration;true
1612246077;572;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;MAGE-Fire,PALADIN-Holy,WARRIOR-Arms;143;true;0;17925;255116;0;15;1680;1682;Restoration;true
1612245837;1134;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;DRUID-Balance,SHAMAN-Restoration,WARLOCK-Affliction;126;false;0;18582;284363;0;-8;1709;1710;Restoration;true
1612245631;1911;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;DRUID-Balance,PRIEST-Discipline,WARLOCK-Affliction;246;true;1;52333;603217;0;15;1680;1682;Restoration;true
1612245226;1672;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;PALADIN-Holy,PRIEST-Shadow,WARRIOR-Arms;283;true;1;46857;653764;0;15;1650;1653;Restoration;true
1612244861;1672;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;DRUID-Feral,MAGE-Fire,PALADIN-Holy;92;false;0;21107;74559;0;-9;1679;1679;Restoration;true
1612244679;1134;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;DEATHKNIGHT-Frost,PALADIN-Retribution,PRIEST-Discipline;180;false;0;29595;489534;0;-8;1708;1710;Restoration;true
1612244411;1505;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;PALADIN-Holy,SHAMAN-Enhancement,WARRIOR-Arms;125;true;1;26455;247352;0;15;1679;1678;Restoration;true
1612244203;1911;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;MAGE-Fire,MONK-Windwalker,PALADIN-Holy;437;true;0;30878;532280;0;15;1650;1647;Restoration;true
1612243682;2373;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;MONK-Windwalker,PALADIN-Holy,WARRIOR-Arms;94;true;0;9943;150901;0;15;1620;1622;Restoration;true
1612243497;617;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;PRIEST-Holy,SHAMAN-Elemental,WARLOCK-Destruction;160;true;0;42167;179644;0;14;1592;1586;Restoration;true
1612243229;980;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;DRUID-Balance,PALADIN-Holy,SHAMAN-Elemental;251;false;0;29449;550418;0;-9;1622;1620;Restoration;true
1612242885;1552;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;DRUID-Balance,MONK-Windwalker,SHAMAN-Restoration;77;true;0;3729;162545;0;14;1594;1582;Restoration;true
1612242688;572;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;MONK-Windwalker,PALADIN-Retribution,SHAMAN-Restoration;87;true;1;16516;211262;0;14;1564;1565;Restoration;true
1612242500;2167;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;DRUID-Feral,HUNTER-Marksmanship,PALADIN-Protection;84;true;0;11532;242879;0;14;1533;1532;Restoration;true
1612242319;2167;6;DEATHKNIGHT-Frost,SHAMAN-Restoration,WARRIOR-Arms;PALADIN-Retribution,PRIEST-Discipline,WARLOCK-Affliction;235;true;0;20250;532099;0;14;1498;1530;Restoration;true
